project,facility_name,tollclass,PBA2050_RTP_ID,s2toll_mandatory,THRESHOLD_SPEED,MAX_TOLL,MIN_TOLL,Grouping major,Grouping minor,Project
Existing,Benicia-Martinez Bridge,1,,,,,,Bridge toll,Benicia-Martinez Bridge toll,
Existing,Carquinez Bridge,2,,,,,,Bridge toll,Carquinez Bridge toll,
Existing,Richmond-San Rafael Bridge,3,,,,,,Bridge toll,Richmond-San Rafael Bridge toll,
Existing,Golden Gate Bridge,4,,,,,,Bridge toll,Golden Gate Bridge toll,
Existing,San Francisco-Oakland Bay Bridge,5,,,,,,Bridge toll,San Francisco-Oakland Bay Bridge toll,
Existing,San Mateo-Hayward Bridge,6,,,,,,Bridge toll,San Mateo-Hayward Bridge toll,
Existing,Dumbarton Bridge,7,,,,,,Bridge toll,Dumbarton Bridge toll,
Existing,Antioch Bridge,8,,,,,,Bridge toll,Antioch Bridge toll,
RTP2021,Treasure Island Cordon,9,,,,,,Cordon toll,Treasure Island Cordon,
RTP2021,MAJ_SF_Congestion_Pricing,10,,,45,5,0.03,Cordon toll,SF Cordon,
NextGenFwy,NGF_AL_Cordon,11,,,45,5,0.03,Cordon toll,Oakland Cordon,
NextGenFwy,NGF_SC_Cordon,12,,,45,5,0.03,Cordon toll,San Jose Cordon,
NextGenFwy,SR-37 - WB,37,,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,I-80 Bay Bridge - US101 to Civic Center - EB,75,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 Bay Bridge - US101 to Civic Center - WB,76,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 Bay Bridge - Civic Center to SF Transbay Terminal - EB,77,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 Bay Bridge - Civic Center to SF Transbay Terminal - WB,78,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 Bay Bridge - SF Transbay Terminal to SFOBB Toll Plaza - EB,79,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 Bay Bridge - SF Transbay Terminal to SFOBB Toll Plaza - WB,80,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 ALA - SFOBB Toll Plaza to University Ave (Berkeley) - EB,81,AL-027,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 ALA - SFOBB Toll Plaza to University Ave (Berkeley) - WB,82,AL-027 AL-035,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 ALA - University Ave (Berkeley) to Cutting Blvd (Richmond) - EB,83,AL-027,Yes,45,5,0.03,#N/A,#N/A,
