project,facility_name,tollclass,PBA2050_RTP_ID,s2toll_mandatory,THRESHOLD_SPEED,MAX_TOLL,MIN_TOLL,Grouping major,Grouping minor,Project
RTP2021,I-80 ALA - University Ave (Berkeley) to Cutting Blvd (Richmond) - WB,84,AL-027,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 CC - Cutting Blvd (Richmond) to Carquinez Bridge Toll Plaza - EB,85,AL-027,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 CC - Cutting Blvd (Richmond) to Carquinez Bridge Toll Plaza - WB,86,AL-027,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 SOL - Carquinez Bridge Toll Plaza to SR37 Interchange - EB,87,SL-031,,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 SOL - Carquinez Bridge Toll Plaza to SR37 Interchange - WB,88,SL-031,,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 SOL - SR37 Interchange to SR12/I-680 Interchange (Red Top Road) - EB,89,SL-059,,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 SOL - SR37 Interchange to SR12/I-680 Interchange (Red Top Road) - WB,90,SL-059,,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 SOL - SR12/I-680 Interchange (Red Top Road) to I-505 Interchange - EB,91,SL-030,,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 SOL - SR12/I-680 Interchange (Red Top Road) to I-505 Interchange - WB,92,SL-030,,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 SOL - I-505 Interchange to Yolo County Line - EB,93,,,45,5,0.03,#N/A,#N/A,
RTP2021,I-80 SOL - I-505 Interchange to Yolo County Line - WB,94,,,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SF - I-280 Interchange to SFOBB entrance - NB,101,SF-027,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SF - I-280 Interchange to SFOBB entrance - SB,102,SF-027,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SF - SF County Line to I-280 Interchange - NB,103,SF-027,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SF - SF County Line to I-280 Interchange - SB,104,SF-027,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SM - I-380 Interchange to SF county line - NB,105,SM-019,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SM - I-380 Interchange to SF county line - SB,106,SM-019,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SM - SM Bridge (SR92) to I-380 Interchange - NB,107,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SM - SM Bridge (SR92) to I-380 Interchange - SB,108,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SM - Whipple Ave to SM Bridge (SR92) - NB,109,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SM - Whipple Ave to SM Bridge (SR92) - SB,110,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SM - Dumbarton Bridge (Willow Road) to Whipple Ave - NB,111,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SM - Dumbarton Bridge (Willow Road) to Whipple Ave - SB,112,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SM - SCL County Line to Dumbarton Bridge (Willow Road) - NB,113,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SM - SCL County Line to Dumbarton Bridge (Willow Road) - SB,114,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SCL - SR237 to SM County Line - NB,115,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SCL - SR237 to SM County Line - SB,116,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SCL - I-880 to SR237 - NB,117,SC-032,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SCL - I-880 to SR237 - SB,118,SC-032,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SCL - SR85 to I-880 - NB,119,SC-029,,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SCL - SR85 to I-880 - SB,120,SC-029,,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SCL - Morgan Hill to SR85 - NB,121,SC-029,,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SCL - Morgan Hill to SR85 - SB,122,SC-029,,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SCL - San Benito County Line to Morgan Hill - NB,123,,,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SCL - San Benito County Line to Morgan Hill - SB,124,,,45,5,0.03,#N/A,#N/A,
RTP2021,US101 MN - I-580 Interchange to GGB entrance - NB,131,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 MN - I-580 Interchange to GGB entrance - SB,132,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 MN - GGB entrance to GGB Toll Plaza - NB,133,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 MN - GGB entrance to GGB Toll Plaza - SB,134,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,US101 MN - I-580 Interchange to SR116 - NB,135,,,45,5,0.03,#N/A,#N/A,
RTP2021,US101 MN - I-580 Interchange to SR116 - SB,136,,,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SF - Golden Gate Bridge to Richardson Ave - NB,137,,,45,5,0.03,#N/A,#N/A,
RTP2021,US101 SF - Golden Gate Bridge to Richardson Ave - SB,138,,,45,5,0.03,#N/A,#N/A,
RTP2021,SR17 - I-280 Interchange to SR85 - NB,171,,,45,5,0.03,#N/A,#N/A,
RTP2021,SR17 - I-280 Interchange to SR85 - SB,172,,,45,5,0.03,#N/A,#N/A,
RTP2021,SR237 - US101 Interchange to I-880 Interchange - EB,231,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR237 - US101 Interchange to I-880 Interchange - WB,232,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR237 - SR85 to US101 Interchange - EB,233,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR237 - SR85 to US101 Interchange - WB,234,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-238 - I-880 Interchange to I-580 Interchange - EB,239,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-238 - I-880 Interchange to I-580 Interchange - WB,240,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR24 - I-580 Interchange to SR13 Interchange - EB,241,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR24 - I-580 Interchange to SR13 Interchange - WB,242,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR24 - SR13 Interchange to I-680 Interchange - EB,243,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR24 - SR13 Interchange to I-680 Interchange - WB,244,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR242 CC - I680 to SR4 - EB,245,,,45,5,0.03,#N/A,#N/A,
RTP2021,SR242 CC - I680 to SR4 - WB,246,,,45,5,0.03,#N/A,#N/A,
RTP2021,I-280 SF - US101 Interchange to 4th and King - NB,281,SF-027,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-280 SF - US101 Interchange to 4th and King - SB,282,SF-027,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-280 SCL - Magdalena Ave (Loyola) to SM County Line - NB,283,,,45,5,0.03,#N/A,#N/A,
RTP2021,I-280 SCL - Magdalena Ave (Loyola) to SM County Line - SB,284,,,45,5,0.03,#N/A,#N/A,
RTP2021,I-280 SCL - US101 to Magdalena Ave (Loyola) - NB,285,SC-033 SC-037,,45,5,0.03,#N/A,#N/A,
RTP2021,I-280 SCL - US101 to Magdalena Ave (Loyola) - SB,286,SC-033 SC-037,,45,5,0.03,#N/A,#N/A,
RTP2021,I-280 SF - I-380 Interchange to US101 Interchange - NB,287,SF-027,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-280 SF - I-380 Interchange to US101 Interchange - SB,288,SF-027,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-280 SM - Millbrae Ave to SM County Line - EB,289,,,45,5,0.03,#N/A,#N/A,
RTP2021,I-280 SM - Millbrae Ave to SM County Line - WB,290,,,45,5,0.03,#N/A,#N/A,
RTP2021,I-380 SM - I-280 Interchange to US101 Interchange - EB,381,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-380 SM - I-280 Interchange to US101 Interchange - WB,382,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR4 - Port Chicago to Hillcrest Ave - EB,401,CC-034,,45,5,0.03,#N/A,#N/A,
RTP2021,SR4 - Port Chicago to Hillcrest Ave - WB,402,CC-034,,45,5,0.03,#N/A,#N/A,
RTP2021,SR4 - I-680 (Grayson Creek) to Port Chicago - EB,403,CC-034,,45,5,0.03,#N/A,#N/A,
RTP2021,SR4 - I-680 (Grayson Creek) to Port Chicago - WB,404,CC-034,,45,5,0.03,#N/A,#N/A,
RTP2021,SR4 - Morello Ave to  I-680 (Grayson Creek) - EB,405,,,45,5,0.03,#N/A,#N/A,
RTP2021,SR4 - Morello Ave to  I-680 (Grayson Creek) - WB,406,,,45,5,0.03,#N/A,#N/A,
RTP2021,SR4 CC - SR160 Interchange to Vasco Rd - EB,407,,,45,5,0.03,#N/A,#N/A,
RTP2021,SR4 CC - SR160 Interchange to Vasco Rd - WB,408,,,45,5,0.03,#N/A,#N/A,
RTP2021,I-580 - SFOBB toll plaza to SR24 Interchange - EB,581,AL-029,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-580 - SFOBB toll plaza to SR24 Interchange - WB,582,AL-029,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-580 - SR24 Interchange to I-238 Interchange - EB,583,AL-029,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-580 - SR24 Interchange to I-238 Interchange - WB,584,AL-029,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-580 - I-238 Interchange to I-680 Interchange - EB,585,AL-031,,45,5,0.03,#N/A,#N/A,
RTP2021,I-580 - I-238 Interchange to I-680 Interchange - WB,586,AL-031,,45,5,0.03,#N/A,#N/A,
RTP2021,I-580 - I-680 Interchange to Greenville - EB,587,,,45,5,0.03,#N/A,#N/A,
RTP2021,I-580 - I-680 Interchange to Greenville - WB,588,,,45,5,0.03,#N/A,#N/A,
RTP2021,I-580 - Greenville to SJ County Line - EB,589,AL-032,,45,5,0.03,#N/A,#N/A,
RTP2021,I-580 - Greenville to SJ County Line - WB,590,AL-032,,45,5,0.03,#N/A,#N/A,
RTP2021,I-580 - US101 Marin to SR Bridge Toll Plaza - EB,591,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-580 - US101 Marin to SR Bridge Toll Plaza - WB,592,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-580 - SR Bridge Toll Plaza to Central Ave - EB,593,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-580 - SR Bridge Toll Plaza to Central Ave - WB,594,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-580 - Central Ave to I-80 Albany - EB,595,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-580 - Central Ave to I-80 Albany - WB,596,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-680 CC - Benicia Martinez Bridge to I-80 Interchange - NB,681,CC-035,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,I-680 CC - Benicia Martinez Bridge to I-80 Interchange - SB,682,,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,I-680 CC - Livorna (Alamo) to Marina Vista  - NB,683,CC-033,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,I-680 CC - Livorna (Alamo) to Marina Vista  - SB,684,,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,I-680 CC - Alcosta (San Ramon) to Livorna (Alamo) - NB,685,,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,I-680 CC - Alcosta (San Ramon) to Livorna (Alamo) - SB,686,,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,I-680 ALA - SR84 to Alcosta (San Ramon) - NB,687,AL-024,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,I-680 ALA - SR84 to Alcosta (San Ramon) - SB,688,AL-025,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,I-680 ALA - SCL County Line to SR84 - NB,689,,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,I-680 ALA - SCL County Line to SR84 - SB,690,,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,I-680 SCL - US101 to Alameda County Line - NB,691,AL-028 SC-034,,45,5,0.03,#N/A,#N/A,
RTP2021,I-680 SCL - US101 to Alameda County Line - SB,692,,,45,5,0.03,#N/A,#N/A,
RTP2021,SR84 - Dumbarton Bridge - EB,841,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR84 - Dumbarton Bridge - WB,842,AL-034,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR84 - Dumbarton Bridge SM Approach - EB,843,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR84 - Dumbarton Bridge and SM Exit - WB,844,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR85 - US101 Interchange to I-280 Interchange - EB,851,SC-031,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,SR85 - US101 Interchange to I-280 Interchange - WB,852,SC-031,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,SR85 - I-280 Interchange to SR87 - EB,853,SC-031,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,SR85 - I-280 Interchange to SR87 - WB,854,SC-031,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,SR85 - SR87 to US101 Interchange - EB,855,SC-036,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,SR85 - SR87 to US101 Interchange - WB,856,SC-036,,45,5,0.03,"0, 37, 681 and 15 more",Other,
RTP2021,SR87 - US101 Interchange to SR85 - NB,871,SC-035,,45,5,0.03,#N/A,#N/A,
RTP2021,SR87 - US101 Interchange to SR85 - SB,872,SC-035,,45,5,0.03,#N/A,#N/A,
RTP2021,I-880 ALA - Hegenberger to SFOBB Toll Plaza - NB,879,AL-023,,45,5,0.03,#N/A,#N/A,
RTP2021,I-880 ALA - Hegenberger to SFOBB Toll Plaza - SB,880,AL-023,,45,5,0.03,#N/A,#N/A,
RTP2021,I-880 ALA - SM Bridge to Hegenberger - NB,881,AL-030,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-880 ALA - SM Bridge to Hegenberger - SB,882,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-880 ALA - Dumbarton Bridge to SM Bridge - NB,883,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-880 ALA - Dumbarton Bridge to SM Bridge - SB,884,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-880 ALA - SR262 Mission Blvd to Dumbarton Bridge - NB,885,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-880 ALA - SR262 Mission Blvd to Dumbarton Bridge - SB,886,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-880 SCL - SR237 to SR262 Mission Blvd - NB,887,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-880 SCL - SR237 to SR262 Mission Blvd - SB,888,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-880 SCL - US101 Interchange to SR237 - NB,889,SC-038,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-880 SCL - US101 Interchange to SR237 - SB,890,SC-038,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,I-880 SCL - I-280 Interchange to US101 Interchange - NB,891,,,45,5,0.03,#N/A,#N/A,
RTP2021,I-880 SCL - I-280 Interchange to US101 Interchange - SB,892,,,45,5,0.03,#N/A,#N/A,
RTP2021,SR92 - San Mateo Bridge EB Exit - EB,921,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR92 - San Mateo Bridge WB Approach - WB,922,AL-033,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR92 - San Mateo Bridge - EB,923,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR92 - San Mateo Bridge - WB,924,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR92 - San Mateo Bridge EB Approach - EB,925,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR92 - San Mateo Bridge WB Exit - WB,926,,Yes,45,5,0.03,#N/A,#N/A,
RTP2021,SR92 SM - I-280 Interchange to US101 Interchange - EB,927,,,45,5,0.03,#N/A,#N/A,
RTP2021,SR92 SM - I-280 Interchange to US101 Interchange - WB,928,,,45,5,0.03,#N/A,#N/A,
RTP2021,I-980 ALA - NB,981,,,45,5,0.03,#N/A,#N/A,
RTP2021,I-980 ALA - SB,982,,,45,5,0.03,#N/A,#N/A,
NextGenFwy,[Contra Costa: paralleling SR-4] Leland Rd (to Delta Fair Blvd) - EB,760004,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[Contra Costa: paralleling SR-4] Leland Rd (to Delta Fair Blvd) -WB,760005,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[Alameda: paralleling I-80] San Pablo - NB,760080,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[Alameda: paralleling I-80] San Pablo - SB,760081,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[Solano: paralleling I-80] Texas St - EB,760082,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[Solano: paralleling I-80] Texas St - WB,760083,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[Santa Clara: paralleling US-101] Monterey Rd - NB,760101,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[Santa Clara: paralleling US-101] Monterey Rd - SB,760102,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[San Francisco: paralleling US-101] 3rd (to Bayshore Blvd to Airport Blvd) - NB,760103,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[San Francisco: paralleling US-101] 3rd (to Bayshore Blvd to Airport Blvd) - SB,760104,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[San Mateo: paralleling US-101/I-280] El Camino Real - NB,760105,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[San Mateo: paralleling US-101/I-280] El Camino Real - SB,760106,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[Sonoma: paralleling US-101] Mendocino Ave +  Santa Rosa Ave - NB,760107,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[Sonoma: paralleling US-101] Mendocino Ave +  Santa Rosa Ave - SB,760108,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[Santa Clara: paralleling 237/680] Tasman Dr (to N Capitol Ave to E Capitol Expy) - EB,760237,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[Santa Clara: paralleling 237/680] Tasman Dr (to N Capitol Ave to E Capitol Expy) - WB,760238,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[Santa Clara: paralleling I-280] Foothill Expy - NB,760280,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[Santa Clara: paralleling I-280] Foothill Expy - SB,760281,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[Alameda: paralleling I-880/I-580] International Blvd (to E 14th St to Mission Blvd) - NB,760580,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,[Alameda: paralleling I-880/I-580] International Blvd (to E 14th St to Mission Blvd) - SB,760581,,,45,5,0.001,#N/A,#N/A,
NextGenFwy,na,770075,,,,5,,SF_AM,SF_AM,
NextGenFwy,na,770076,,,,5,,SF_PM,SF_PM,
NextGenFwy,na,770077,,,,5,,SF_PM,SF_PM,
NextGenFwy,na,770078,,,,5,,SF_AM,SF_AM,
NextGenFwy,na,770081,,,,5,,EastBay_Inner_PM,EastBay_InnerBBApproach80580880_PM,
NextGenFwy,na,770082,,,,5,,EastBay_Inner_AM,EastBay_InnerBBApproach80580880_AM,
NextGenFwy,na,770083,,,,5,,EastBay_Outer_PM,EastBay_Outer80_PM,
NextGenFwy,na,770084,,,,5,,EastBay_Outer_AM,EastBay_Outer80_AM,
NextGenFwy,na,770085,,,,5,,EastBay_Outer_PM,EastBay_Outer80_PM,
NextGenFwy,na,770086,,,,5,,EastBay_Outer_AM,EastBay_Outer80_AM,
NextGenFwy,na,770087,,,,5,,Periphery_PM,Periphery_80Solano_PM,
NextGenFwy,na,770088,,,,5,,Periphery_AM,Periphery_80Solano_AM,
NextGenFwy,na,770091,,,,5,,Periphery_PM,Periphery_80Solano_PM,
NextGenFwy,na,770092,,,,5,,Periphery_AM,Periphery_80Solano_AM,
NextGenFwy,na,770101,,,,5,,SF_AM,SF_AM,
NextGenFwy,na,770102,,,,5,,SF_PM,SF_PM,
NextGenFwy,na,770103,,,,5,,SFOSanMateo_PM,SFOSanMateo_101_PM,
NextGenFwy,na,770104,,,,5,,SFOSanMateo_AM,SFOSanMateo_101_AM,
NextGenFwy,na,770105,,,,5,,SFOSanMateo_PM,SFOSanMateo_101_PM,
NextGenFwy,na,770106,,,,5,,SFOSanMateo_AM,SFOSanMateo_101_AM,
NextGenFwy,na,770107,,,,5,,SanMateo_PM,SanMateo_101_PM,
NextGenFwy,na,770108,,,,5,,SanMateo_AM,SanMateo_101_AM,
NextGenFwy,na,770109,,,,5,,SanMateo_PM,SanMateo_101_PM,
NextGenFwy,na,770110,,,,5,,SanMateo_AM,SanMateo_101_AM,
NextGenFwy,na,770111,,,,5,,SanMateo_PM,SanMateo_101_PM,
NextGenFwy,na,770112,,,,5,,SanMateo_AM,SanMateo_101_AM,
NextGenFwy,na,770113,,,,5,,SanMateo_PM,SanMateo_101_PM,
NextGenFwy,na,770114,,,,5,,SanMateo_AM,SanMateo_101_AM,
NextGenFwy,na,770115,,,,5,,SouthBay_Inner_AM,SouthBay_Inner_AM,
NextGenFwy,na,770116,,,,5,,SouthBay_Inner_PM,SouthBay_Inner_PM,
NextGenFwy,na,770117,,,,5,,SouthBay_Inner_AM,SouthBay_Inner_AM,
NextGenFwy,na,770118,,,,5,,SouthBay_Inner_PM,SouthBay_Inner_PM,
NextGenFwy,na,770119,,,,5,,SouthBay_Outer_AM,SouthBay_Outer10187_AM,
NextGenFwy,na,770120,,,,5,,SouthBay_Outer_PM,SouthBay_Outer10187_PM,
NextGenFwy,na,770121,,,,5,,Periphery_AM,Periphery_101SouthBay_AM,
NextGenFwy,na,770122,,,,5,,Periphery_PM,Periphery_101SouthBay_PM,
NextGenFwy,na,770123,,,,5,,Periphery_AM,Periphery_101SouthBay_AM,
NextGenFwy,na,770124,,,,5,,Periphery_PM,Periphery_101SouthBay_PM,
NextGenFwy,na,770135,,,,5,,Periphery_PM,Periphery_101NorthBay_PM,
NextGenFwy,na,770136,,,,5,,Periphery_AM,Periphery_101NorthBay_AM,
NextGenFwy,na,770171,,,,5,,SouthBay_Outer_AM,SouthBay_Outer280680_AM,
NextGenFwy,na,770172,,,,5,,SouthBay_Outer_PM,SouthBay_Outer280680_PM,
NextGenFwy,na,770231,,,,5,,SouthBay_Inner_PM,SouthBay_Inner_PM,
NextGenFwy,na,770232,,,,5,,SouthBay_Inner_AM,SouthBay_Inner_AM,
NextGenFwy,na,770233,,,,5,,SouthBay_Inner_PM,SouthBay_Inner_PM,
NextGenFwy,na,770234,,,,5,,SouthBay_Inner_AM,SouthBay_Inner_AM,
NextGenFwy,na,770239,,,,5,,EastBay_Outer_PM,EastBay_Outer580_PM,
NextGenFwy,na,770240,,,,5,,EastBay_Outer_AM,EastBay_Outer580_AM,
NextGenFwy,na,770241,,,,5,,EastBay_Outer_PM,EastBay_68024980_PM,
NextGenFwy,na,770242,,,,5,,EastBay_Outer_AM,EastBay_68024980_AM,
NextGenFwy,na,770243,,,,5,,EastBay_Outer_PM,EastBay_68024980_PM,
NextGenFwy,na,770244,,,,5,,EastBay_Outer_AM,EastBay_68024980_AM,
NextGenFwy,na,770245,,,,5,,EastBay_Outer_PM,EastBay_68024980_PM,
NextGenFwy,na,770246,,,,5,,EastBay_Outer_AM,EastBay_68024980_AM,
NextGenFwy,na,770281,,,,5,,SF_AM,SF_AM,
NextGenFwy,na,770282,,,,5,,SF_PM,SF_PM,
NextGenFwy,na,770283,,,,5,,SouthBay_Outer_AM,SouthBay_Outer280680_AM,
NextGenFwy,na,770284,,,,5,,SouthBay_Outer_PM,SouthBay_Outer280680_PM,
NextGenFwy,na,770285,,,,5,,SouthBay_Outer_AM,SouthBay_Outer280680_AM,
NextGenFwy,na,770286,,,,5,,SouthBay_Outer_PM,SouthBay_Outer280680_PM,
NextGenFwy,na,770287,,,,5,,SFOSanMateo_PM,SFOSanMateo_280380_PM,
NextGenFwy,na,770288,,,,5,,SFOSanMateo_AM,SFOSanMateo_280380_AM,
NextGenFwy,na,770289,,,,5,,SanMateo_AM,SanMateo_28092_AM,
NextGenFwy,na,770290,,,,5,,SanMateo_PM,SanMateo_28092_PM,
NextGenFwy,na,770381,,,,5,,SFOSanMateo_PM,SFOSanMateo_280380_PM,
NextGenFwy,na,770382,,,,5,,SFOSanMateo_AM,SFOSanMateo_280380_AM,
