Name,System,Stripped,Line,FullLineName,AM VehicleType,PM VehicleType,OP Vehicle Type
*11,Walk access,,,,,,
*12,Walk egress,,,,,,
*13,Drive access,,,,,,
*14,Drive egress,,,,,,
*15,Transfer,,,,,,
*16,Drive funnel,,,,,,
*17,Walk Funnel,,,,,,
100_BART_BLR,BART,BLR,BLR,Blue Line,9 Car BART,9 Car BART,8 Car BART
100_BART_BLU,BART,BLU,BLU,Blue Line,9 Car BART,9 Car BART,8 Car BART
100_BART_BLU-,BART,BLU-,BLU,Blue Line,9 Car BART,9 Car BART,8 Car BART
100_BART_BVE,BART,BVE,BVE,Blue Line,9 Car BART,9 Car BART,8 Car BART
100_BART_G2,BART,G2,G2,Green Line - Daly City to S Hayward,10 Car BART,10 Car BART,8 Car BART
100_BART_G2R,BART,G2R,G2R,Green Line - S Hayward to Daly City,10 Car BART,10 Car BART,8 Car BART
100_BART_GRN,BART,GRN,GRN,Green Line - Daly City to Fremont,10 Car BART,10 Car BART,8 Car BART
100_BART_GRN-,BART,GRN-,GRN,Green Line,10 Car BART,10 Car BART,8 Car BART
100_BART_GRR,BART,GRR,GRR,Green Line - Fremont to Daly City,10 Car BART,10 Car BART,8 Car BART
100_BART_O2,BART,O2,O2,Orange Line - Bay Fair to Richmond,7 Car BART,7 Car BART,7 Car BART
100_BART_O2R,BART,O2R,O2R,Orange Line - Richmond to Bay Fair,7 Car BART,7 Car BART,7 Car BART
100_BART_ORG,BART,ORG,ORG,Orange Line - Fremont to Richmond,7 Car BART,7 Car BART,7 Car BART
100_BART_ORG-,BART,ORG-,ORG,Orange Line,7 Car BART,7 Car BART,7 Car BART
100_BART_ORR,BART,ORR,ORR,Orange Line - Richmond to Fremont,7 Car BART,7 Car BART,7 Car BART
100_BART_RD1,BART,RD1,RD1,Red Line,9 Car BART,9 Car BART,8 Car BART
100_BART_RD1-,BART,RD1-,RD1,Red Line,9 Car BART,9 Car BART,8 Car BART
100_BART_RED,BART,RED,RED,Red Line - Millbrae to Richmond,9 Car BART,9 Car BART,8 Car BART
100_BART_RED-,BART,RED-,RED,Red Line,9 Car BART,9 Car BART,8 Car BART
100_BART_RER,BART,RER,RER,Red Line - Richmond to Millbrae,9 Car BART,9 Car BART,8 Car BART
100_BART_Y1,BART,Y1,Y1,Yellow Line - Glen Park to Pittsburg,10 Car BART,10 Car BART,8 Car BART
100_BART_Y1R,BART,Y1R,Y1R,Yellow Line - Pittsburg to Glen Park,10 Car BART,10 Car BART,8 Car BART
100_BART_Y2,BART,Y2,Y2,Yellow Line - SFO to Pleasant Hill,10 Car BART,10 Car BART,8 Car BART
100_BART_Y2R,BART,Y2R,Y2R,Yellow Line - Pleasant Hill to SFO,10 Car BART,10 Car BART,8 Car BART
100_BART_Y3,BART,Y3,Y3,Yellow Line - Daly City to Pittsburg,10 Car BART,10 Car BART,8 Car BART
100_BART_Y3R,BART,Y3R,Y3R,Yellow Line - Pittsburg to Daly City,10 Car BART,10 Car BART,8 Car BART
100_BART_YEL,BART,YEL,YEL,Yellow Line - SFO to Pittsburg,10 Car BART,10 Car BART,8 Car BART
100_BART_YEL-,BART,YEL-,YEL,Yellow Line,10 Car BART,10 Car BART,8 Car BART
100_BART_YER,BART,YER,YER,Yellow Line - Pittsburg to SFO,10 Car BART,10 Car BART,8 Car BART
100_BART_YL1,BART,YL1,YL1,Yellow Line,10 Car BART,10 Car BART,8 Car BART
100_BART_YL1-,BART,YL1-,YL1,Yellow Line,10 Car BART,10 Car BART,8 Car BART
100_BART_YL2,BART,YL2,YL2,Yellow Line,10 Car BART,10 Car BART,8 Car BART
100_BART_YLR,BART,YLR,YLR,Yellow Line,10 Car BART,10 Car BART,8 Car BART
100_SVF,BART,SVF,SVF,Fillmore Subway,7 Car BART,7 Car BART,7 Car BART
100_SVFR,BART,SVFR,SVF,Fillmore Subway,7 Car BART,7 Car BART,7 Car BART
100_SVG,BART,SVG,SVG,Geary Subway,7 Car BART,7 Car BART,7 Car BART
100_SVGR,BART,SVGR,SVG,Geary Subway,7 Car BART,7 Car BART,7 Car BART
100_SVJ,BART,SVJ,SVJ,Judah Subway,7 Car BART,7 Car BART,7 Car BART
100_SVJR,BART,SVJR,SVJ,Judah Subway,7 Car BART,7 Car BART,7 Car BART
100_SVV,BART,SVV,SVV,Van Ness Subway,7 Car BART,7 Car BART,7 Car BART
100_SVVR,BART,SVVR,SVV,Van Ness Subway,7 Car BART,7 Car BART,7 Car BART
26_CXN,SamTrans,CXN,CX,SamTrans Express CX,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
26_CXS,SamTrans,CXS,CX,SamTrans Express CX,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
26_DXANB,SamTrans,DXANB,DX,SamTrans Express DX,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
26_DXASB,SamTrans,DXASB,DX,SamTrans Express DX,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
26_DXNB,SamTrans,DXNB,DX,SamTrans Express DX,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
26_DXSB,SamTrans,DXSB,DX,SamTrans Express DX,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
26_FXNB,SamTrans,FXNB,FX,SamTrans Express FX,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
26_FXSB,SamTrans,FXSB,FX,SamTrans Express FX,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
26_KXN,SamTrans,KXN,KX,SamTrans Express KX,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
26_KXS,SamTrans,KXS,KX,SamTrans Express KX,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
26_MXANB,SamTrans,MXANB,MX,SamTrans Express MX,SamTrans Standard Bus,SamTrans Standard Bus,SamTrans Standard Bus
26_MXASB,SamTrans,MXASB,MX,SamTrans Express MX,SamTrans Standard Bus,SamTrans Standard Bus,SamTrans Standard Bus
26_MXNB,SamTrans,MXNB,MX,SamTrans Express MX,SamTrans Standard Bus,SamTrans Standard Bus,SamTrans Standard Bus
26_MXSB,SamTrans,MXSB,MX,SamTrans Express MX,SamTrans Standard Bus,SamTrans Standard Bus,SamTrans Standard Bus
26_NXNB,SamTrans,NXNB,NX,SamTrans Express NX,SamTrans Standard Bus,SamTrans Standard Bus,SamTrans Standard Bus
26_NXSB,SamTrans,NXSB,NX,SamTrans Express NX,SamTrans Standard Bus,SamTrans Standard Bus,SamTrans Standard Bus
26_PXNB,SamTrans,PXNB,PX,SamTrans Express PX,SamTrans Standard Bus,SamTrans Standard Bus,SamTrans Standard Bus
26_PXSB,SamTrans,PXSB,PX,SamTrans Express PX,SamTrans Standard Bus,SamTrans Standard Bus,SamTrans Standard Bus
26_RXNB,SamTrans,RXNB,RX,SamTrans Express RX,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
26_RXSB,SamTrans,RXSB,RX,SamTrans Express RX,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_292N,SamTrans,292N,292,SamTrans Intercity 292,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_292NA,SamTrans,292NA,292,SamTrans Intercity 292,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_292S,SamTrans,292S,292,SamTrans Intercity 292,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_292SA,SamTrans,292SA,292,SamTrans Intercity 292,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_294NB,SamTrans,294NB,294,SamTrans Intercity 294,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_294SB,SamTrans,294SB,294,SamTrans Intercity 294,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_295,SamTrans,295,295,SamTrans Intercity 295,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_295-,SamTrans,295-,295,SamTrans Intercity 295,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_296NBA,SamTrans,296NBA,296,SamTrans Intercity 296,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_296NBC,SamTrans,296NBC,296,SamTrans Intercity 296,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_296NBD,SamTrans,296NBD,296,SamTrans Intercity 296,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_296SB,SamTrans,296SB,296,SamTrans Intercity 296,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_390,SamTrans,390,390,SamTrans Intercity 390,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_390-,SamTrans,390-,390,SamTrans Intercity 390,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_390A,SamTrans,390A,390,SamTrans Intercity 390,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_390X,SamTrans,390X,390,SamTrans Intercity 390,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_391NA,SamTrans,391NA,391,SamTrans Intercity 391,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_391NB,SamTrans,391NB,391,SamTrans Intercity 391,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_391NC,SamTrans,391NC,391,SamTrans Intercity 391,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_391SA,SamTrans,391SA,391,SamTrans Intercity 391,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
30_391SC,SamTrans,391SC,391,SamTrans Intercity 391,SamTrans Plus Bus,SamTrans Plus Bus,SamTrans Plus Bus
37_BEB,AC Transit,BEB,B,AC Transbay B,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_BWB,AC Transit,BWB,B,AC Transbay B,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_CBEB,AC Transit,CBEB,CB,AC Transbay CB,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_CBWB,AC Transit,CBWB,CB,AC Transbay CB,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_CEB,AC Transit,CEB,C,AC Transbay C,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_CWB,AC Transit,CWB,C,AC Transbay C,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_EAEB,AC Transit,EAEB,EA,AC Transbay EA,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_EEB,AC Transit,EEB,E,AC Transbay E,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_EWB,AC Transit,EWB,E,AC Transbay E,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_FEB,AC Transit,FEB,F,AC Transbay F,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_FSEB,AC Transit,FSEB,FS,AC Transbay FS,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_FSWB,AC Transit,FSWB,FS,AC Transbay FS,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_FWB,AC Transit,FWB,F,AC Transbay F,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_GEB,AC Transit,GEB,G,AC Transbay G,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_GWB,AC Transit,GWB,G,AC Transbay G,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_HEB,AC Transit,HEB,H,AC Transbay H,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_HWB,AC Transit,HWB,H,AC Transbay H,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_JEB,AC Transit,JEB,J,AC Transbay J,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_JWB,AC Transit,JWB,J,AC Transbay J,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_LAEB,AC Transit,LAEB,LA,AC Transbay LA,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_LAWB,AC Transit,LAWB,LA,AC Transbay LA,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_LEB,AC Transit,LEB,L,AC Transbay L,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_LWB,AC Transit,LWB,L,AC Transbay L,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_M.1EB,AC Transit,M.1EB,M.1,AC Transbay M.1,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_M.2EB,AC Transit,M.2EB,M.2,AC Transbay M.2,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_MAEB,AC Transit,MAEB,MA,AC Transbay MA,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_MAWB,AC Transit,MAWB,MA,AC Transbay MA,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_MWB,AC Transit,MWB,M,AC Transbay M,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_NLEB,AC Transit,NLEB,NL,AC Transbay NL,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_NLWB,AC Transit,NLWB,NL,AC Transbay NL,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_NX1,AC Transit,NX1,N,AC Transbay N,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_NX2,AC Transit,NX2,N,AC Transbay N,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_NX3EB,AC Transit,NX3EB,NX3,AC Transbay NX3,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_NX3WB,AC Transit,NX3WB,NX3,AC Transbay NX3,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_NX4.1EB,AC Transit,NX4.1EB,NX4.1,AC Transbay NX4.1,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_NX4.1WB,AC Transit,NX4.1WB,NX4.1,AC Transbay NX4.1,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_NX4.2EB,AC Transit,NX4.2EB,NX4.2,AC Transbay NX4.2,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_NX4.2WB,AC Transit,NX4.2WB,NX4.2,AC Transbay NX4.2,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_NXWB,AC Transit,NXWB,NX,AC Transbay NX,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_O.1WB,AC Transit,O.1WB,O.1,AC Transbay O.1,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_O.2WB,AC Transit,O.2WB,O.2,AC Transbay O.2,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_OEB,AC Transit,OEB,O,AC Transbay O,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_OXEB,AC Transit,OXEB,OX,AC Transbay OX,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_OXWB,AC Transit,OXWB,OX,AC Transbay OX,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_PEB,AC Transit,PEB,P,AC Transbay P,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_PWB,AC Transit,PWB,P,AC Transbay P,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_QWB,AC Transit,QWB,Q,AC Transbay Q,AC Standard Bus,AC Standard Bus,AC Standard Bus
37_SAEB,AC Transit,SAEB,SA,AC Transbay SA,AC Plus Bus,AC Plus Bus,AC Plus Bus
37_SAWB,AC Transit,SAWB,SA,AC Transbay SA,AC Plus Bus,AC Plus Bus,AC Plus Bus
37_SBEB,AC Transit,SBEB,SB,AC Transbay SB,AC Plus Bus,AC Plus Bus,AC Plus Bus
37_SBWB,AC Transit,SBWB,SB,AC Transbay SB,AC Plus Bus,AC Plus Bus,AC Plus Bus
37_SEB,AC Transit,SEB,S,AC Transbay S,AC Plus Bus,AC Plus Bus,AC Plus Bus
37_SWB,AC Transit,SWB,S,AC Transbay S,AC Plus Bus,AC Plus Bus,AC Plus Bus
37_TIEB,AC Transit,TIEB,TI,AC Treasure Island,AC Standard Bus,AC Standard Bus,AC Standard Bus
