NODE,X,Y,_PROJECT,_Comment,
10802,596765,4131360,net_update,; SCVTA LRT   San Carlos PNR Node,
10804,596061,4129863,net_update,; SCVTA LRT   Fruitdale PNR Node,
10805,594818,4128428,net_update,; SCVTA LRT   Bascom PNR Node,
10808,601769,4137575,net_update,; SCVTA LRT Penitencia Creek PNR node,
10809,602619,4136561,net_update,; SCVTA LRT Mckee PNR node,
10810,603189,4135753,net_update,; SCVTA LRT Alum Rock PNR node,
10811,593108,4126204,net_update,; SCVTA LRT   Winchester PNR Node,
10812,592121,4124423,net_update,;SCVTA LRT Hacienda PNR Node,
10900,597775,4131890,net_update,; SCVTA LRT   San Fernando@Delmas Station Node,
10901,597444,4131698,net_update,; SCVTA LRT   San Jose Amtrak Depot Station Node,
10902,596742,4131360,net_update,; SCVTA LRT   San Carlos Station Node,
10903,596861,4130707,net_update,; SCVTA LRT   Race Street Station Node,
10904,596030,4129862,net_update,; SCVTA LRT   Fruitdale Station Node,
10905,594788,4128427,net_update,; SCVTA LRT   Bascom Station Node,
10906,593976,4128009,net_update,; SCVTA LRT   Hamilton Station Node,
10907,593173,4127256,net_update,; SCVTA LRT   Campbell Station Node,
10908,601739,4137574,net_update,; SCVTA LRT Penitencia Creek STA node - Capitol Extension,
10909,602589,4136560,net_update,; SCVTA LRT Mckee STA node - Capitol Extension,
10910,603159,4135752,net_update,; SCVTA LRT Alum Rock STA node - Capitol Extension,
10911,593140,4126148,net_update,; SCVTA LRT   Winchester Station Node,
10912,592501,4125262,net_update,;SCVTA LRT Hacienda....Nodes for LRT Extensions  Station Node,
10913,591760,4124270,net_update,; Vasona VTA LRT Station Node,
10920,597775,4131860,net_update,; SCVTA LRT   San Fernando@Delmas Walk Access Node,
10921,597445,4131668,net_update,; SCVTA LRT   San Jose Amtrak Depot Walk Access Node,
10923,596862,4130677,net_update,; SCVTA LRT   Race Street Walk Access Node,
10924,596031,4129832,net_update,; SCVTA LRT   Fruitdale Walk Access Node,
10925,594789,4128396,net_update,; SCVTA LRT   Bascom Walk Access Node,
10926,593977,4127978,net_update,; SCVTA LRT   Hamilton Walk Access Node,
10927,593174,4127226,net_update,; SCVTA LRT   Campbell Walk Access Node,
10928,593152,4126186,net_update,; SCVTA LRT   Winchester Walk Access Node,
10930,595405,4136156,net_update,; SCVTA LRT SJ Airport Walk Access Node,
10938,601739,4137544,net_update,; SCVTA LRT Penitencia Creek Walk Access node,
10939,602589,4136530,net_update,; SCVTA LRT Mckee Walk Access node,
10940,603160,4135722,net_update,; SCVTA LRT Alum Rock Walk Access node,
12727,553408,4181583,net_update,; MUNI P LINE 3rd and Brannan Station Node,
12729,552917,4182006,net_update,; Moscone Center station,
12730,552917,4181991,net_update,; Moscone Center Access Node,
