A,B,_PROJECT,_PROJ_LANES
6366,6367,Base_year_fix,3
6367,6366,Base_year_fix,3
3977,20438,Base_year_fix,3
20438,3977,Base_year_fix,3
4305,4315,Base_year_fix,2
4315,4305,Base_year_fix,2
4487,5021,Base_year_fix,1
5021,4487,Base_year_fix,1
13518,6920,Base_year_fix,3
6738,6739,Base_year_fix,2
6739,6738,Base_year_fix,2
6739,6740,Base_year_fix,2
6740,6739,Base_year_fix,2
6740,6719,Base_year_fix,2
6719,6740,Base_year_fix,2
