A,B,_PROJECT,_PROJ_LANES
5069,5068,Base_year_fix,2
4963,5069,Base_year_fix,2
4964,4963,Base_year_fix,2
4965,4964,Base_year_fix,2
4974,4965,Base_year_fix,2
4944,4974,Base_year_fix,2
4988,4944,Base_year_fix,2
5183,5191,Base_year_fix,2
5191,4982,Base_year_fix,2
4982,4983,Base_year_fix,2
4983,4984,Base_year_fix,2
4984,4985,Base_year_fix,2
4985,4986,Base_year_fix,2
4986,4987,Base_year_fix,2
4987,4988,Base_year_fix,2
