A,B,BRIDGE
10602,10007,1
2131,2136,1
2135,2130,1
2142,11596,1
10602,10007,1
11597,11683,1
11683,2131,1
2130,2142,1
11596,11624,1
11624,11599,1
11598,11623,1
11623,11597,1
2178,2180,2
2179,2177,2
2206,11637,2
2253,2178,2
9506,9285,2
9285,9225,2
11637,11642,2
11643,11667,2
11667,11634,2
11634,2179,2
2177,2176,2
2180,2206,2
9523,9344,2
9344,9345,2
2341,2357,3
2342,7894,3
2356,2375,3
2357,2356,3
2358,2342,3
2477,2242,3
7853,2341,3
10601,10607,3
20294,10601,3
2247,2477,3
2242,2358,3
7317,7315,4
7318,7316,4
7319,7338,4
7320,7319,4
7322,7323,4
7338,7318,4
7339,7322,4
9969,10035,4
7315,7339,4
7316,7800,4
7801,7317,4
2783,6972,5
2784,2802,5
2788,2786,5
2802,2787,5
2803,2783,5
6969,6973,5
6972,6968,5
6973,2784,5
9865,9867,5
9867,9869,5
7017,6971,5
6971,6969,5
6968,6970,5
6970,7016,5
2786,2803,5
2787,2789,5
2789,2800,5
2799,2788,5
3550,3663,6
3642,3649,6
3649,3229,6
3650,6381,6
6381,6393,6
6382,6383,6
6383,3642,6
6393,6398,6
6400,6382,6
10183,3650,6
11123,10183,6
3663,3650,6
3880,5938,7
3896,3954,7
3953,3865,7
5922,20308,7
5938,20309,7
5939,3896,7
20308,5939,7
20309,5921,7
38710,9895,7
9894,38710,7
1621,1674,8
1622,1668,8
1673,1621,8
10604,10605,8
1679,1622,8
