A,B,_LANES,_FT,_ROUTENUM,_ROUTEDIR
6454,6213,2,2,1,N
6456,6454,2,2,1,N
6463,6451,2,2,1,N
6465,6471,2,7,1,N
6471,6473,2,7,1,N
6473,6446,2,7,1,N
6474,6227,1,7,1,N
6664,6635,3,1,1,N
6664,6652,2,1,1,N
6665,6664,4,2,1,N
6667,6204,5,2,1,N
6673,6667,3,2,1,N
6686,6915,3,2,1,N
6889,6894,3,3,1,N
6891,6905,3,2,1,N
6894,6901,3,7,1,N
6897,7229,3,7,1,N
6901,13614,3,7,1,N
6905,6889,3,3,1,N
6915,6891,3,2,1,N
6974,7009,1,4,1,N
6975,6974,1,4,1,N
7006,7919,1,4,1,N
7009,7012,1,4,1,N
7011,7018,1,4,1,N
7012,7011,1,4,1,N
7018,7090,1,4,1,N
7090,7922,1,4,1,N
7092,7109,1,4,1,N
7109,7132,1,4,1,N
7128,7156,1,4,1,N
7129,7128,1,4,1,N
7130,7129,1,4,1,N
7131,7130,1,4,1,N
7132,7131,1,4,1,N
7156,7165,1,4,1,N
7165,7916,1,4,1,N
7167,7170,1,4,1,N
7170,7189,1,4,1,N
7186,7222,1,4,1,N
7187,7186,1,4,1,N
7187,7188,1,4,1,N
7189,7188,1,4,1,N
7222,7245,1,4,1,N
7229,7248,3,7,1,N
7245,7321,1,4,1,N
7247,7249,3,7,1,N
7248,7247,3,7,1,N
7249,13527,3,7,1,N
7252,7257,3,7,1,N
7257,7285,3,7,1,N
7285,7286,3,7,1,N
7286,7344,2,7,1,N
7321,7336,1,4,1,N
7329,7324,2,1,1,N
7329,7327,1,1,1,N
7336,7367,1,4,1,N
7344,7345,3,7,1,N
7345,7346,3,7,1,N
7346,7391,3,7,1,N
7347,7348,3,7,1,N
7348,7329,2,2,1,N
7367,7387,1,4,1,N
7387,7686,1,4,1,N
7391,7347,3,7,1,N
7684,7699,1,4,1,N
7685,7684,1,4,1,N
7686,7685,1,4,1,N
7699,7788,1,4,1,N
7788,7805,1,4,1,N
7805,7815,1,4,1,N
7815,7818,1,4,1,N
7818,7843,1,4,1,N
7823,10479,1,4,1,N
7824,10478,1,4,1,N
7825,10483,1,4,1,N
7826,10097,1,4,1,N
7842,7857,1,4,1,N
7843,7006,1,4,1,N
7857,7890,1,4,1,N
7890,7897,1,4,1,N
7897,7954,1,4,1,N
7916,7917,1,4,1,N
7917,7167,1,4,1,N
7919,8441,1,4,1,N
7922,7092,1,4,1,N
7923,5875,1,4,1,N
7924,5377,1,4,1,N
7954,7957,1,4,1,N
7957,7959,1,4,1,N
7959,7973,1,4,1,N
7973,7976,1,4,1,N
7976,8456,1,4,1,N
7978,7991,1,4,1,N
7990,8899,1,4,1,N
7991,7990,1,4,1,N
8166,8448,1,4,1,N
8187,8166,1,4,1,N
8441,7842,1,4,1,N
8454,7978,1,4,1,N
8456,8891,1,4,1,N
8550,8187,1,4,1,N
8553,8550,1,4,1,N
8584,8553,1,4,1,N
8585,8584,1,4,1,N
8626,8585,1,4,1,N
8627,8626,1,4,1,N
8628,8627,1,4,1,N
8630,8628,1,4,1,N
8631,8630,1,4,1,N
8638,8631,1,4,1,N
8643,8638,1,4,1,N
8649,8643,1,4,1,N
8659,8649,1,4,1,N
8667,8659,1,4,1,N
8882,8454,1,4,1,N
8883,8882,1,4,1,N
8884,8883,1,4,1,N
8885,8884,1,4,1,N
8886,8885,1,4,1,N
8889,8886,1,4,1,N
8890,8889,1,4,1,N
8891,8890,1,4,1,N
8892,8667,1,4,1,N
8893,8892,1,4,1,N
8894,8893,1,4,1,N
8895,8894,1,4,1,N
8896,8895,1,4,1,N
8897,8896,1,4,1,N
8898,8897,1,4,1,N
8899,8898,1,4,1,N
10097,1453,7,6,1,N
10099,10228,1,4,1,N
10228,10229,1,4,1,N
10229,10230,1,4,1,N
10230,10231,1,4,1,N
10231,7924,1,4,1,N
10476,7825,1,4,1,N
10477,10476,1,4,1,N
10478,10477,1,4,1,N
10479,7824,1,4,1,N
10480,7826,1,4,1,N
10481,10480,1,4,1,N
10482,10481,1,4,1,N
10483,10482,1,4,1,N
11600,4920,1,7,1,N
11620,11600,1,7,1,N
11632,11620,1,7,1,N
13527,7252,3,7,1,N
13614,6897,3,7,1,N
1453,10097,7,6,1,S
4850,4917,1,7,1,S
4917,4947,1,7,1,S
4918,4919,1,7,1,S
4919,4920,1,7,1,S
4920,11600,1,7,1,S
4947,4918,1,7,1,S
5330,5356,1,7,1,S
5356,4850,1,7,1,S
5377,7924,1,4,1,S
5379,5380,1,4,1,S
5380,5381,1,4,1,S
5381,5382,1,4,1,S
5382,5377,1,4,1,S
5388,5379,1,4,1,S
5397,5398,1,4,1,S
5398,5388,1,4,1,S
5400,5397,1,4,1,S
5403,5400,1,4,1,S
5451,5403,1,4,1,S
5460,5451,1,4,1,S
5537,5460,1,4,1,S
5636,5537,1,4,1,S
5756,5636,1,4,1,S
5805,5756,1,4,1,S
5808,5805,1,4,1,S
5836,5808,1,4,1,S
5844,5836,1,4,1,S
5874,5875,1,4,1,S
5875,7923,1,4,1,S
5946,5947,1,4,1,S
5947,5874,1,4,1,S
5957,5946,1,4,1,S
5967,5968,1,4,1,S
5968,5957,1,4,1,S
5970,5967,1,4,1,S
5973,5974,1,4,1,S
5974,5975,1,4,1,S
5975,5970,1,4,1,S
6045,6046,1,7,1,S
6046,6048,1,7,1,S
6048,6197,1,7,1,S
6049,6050,1,4,1,S
6050,6051,1,4,1,S
6051,5973,1,4,1,S
6131,6049,1,4,1,S
6133,6131,1,4,1,S
6152,6133,1,4,1,S
6196,6152,1,4,1,S
6197,6198,1,7,1,S
6198,6200,1,7,1,S
6200,6207,1,7,1,S
6202,6208,1,7,1,S
6205,6670,5,2,1,S
6206,6202,1,7,1,S
6207,6206,1,7,1,S
6208,6209,1,7,1,S
6209,6215,2,7,1,S
6210,6216,1,7,1,S
6211,6220,1,7,1,S
6214,6453,2,2,1,S
6215,6210,2,7,1,S
6216,6217,1,7,1,S
6217,6211,1,7,1,S
6220,6223,1,7,1,S
6223,6227,1,7,1,S
6227,6474,1,7,1,S
6322,6196,1,4,1,S
6331,6322,1,4,1,S
6445,6446,3,7,1,S
6446,6473,2,7,1,S
6453,6455,2,2,1,S
6455,6445,3,3,1,S
6461,6462,2,2,1,S
6462,6214,2,2,1,S
6465,6045,1,7,1,S
6471,6465,2,7,1,S
6473,6471,2,7,1,S
6474,5330,1,7,1,S
6636,6669,3,1,1,S
6637,6205,5,2,1,S
6651,6669,2,1,1,S
6669,6637,4,2,1,S
6670,6671,2,2,1,S
6671,6461,2,2,1,S
6889,6905,3,3,1,S
6891,6915,3,2,1,S
6894,6889,3,3,1,S
6897,13614,3,7,1,S
6901,6894,3,7,1,S
6905,6891,3,2,1,S
6915,6687,4,2,1,S
6974,6975,1,4,1,S
6975,6331,1,4,1,S
7006,7843,1,4,1,S
7009,6974,1,4,1,S
7011,7012,1,4,1,S
7012,7009,1,4,1,S
7018,7011,1,4,1,S
7090,7018,1,4,1,S
7092,7922,1,4,1,S
7109,7092,1,4,1,S
7128,7129,1,4,1,S
7129,7130,1,4,1,S
7130,7131,1,4,1,S
7131,7132,1,4,1,S
7132,7109,1,4,1,S
7156,7128,1,4,1,S
7165,7156,1,4,1,S
7167,7917,1,4,1,S
7170,7167,1,4,1,S
7186,7187,1,4,1,S
7188,7187,1,4,1,S
7188,7189,1,4,1,S
7189,7170,1,4,1,S
7222,7186,1,4,1,S
7229,6897,3,7,1,S
7245,7222,1,4,1,S
7247,7248,3,7,1,S
7248,7229,3,7,1,S
7249,7247,3,7,1,S
7252,13527,3,7,1,S
7257,7252,3,7,1,S
7285,7257,3,7,1,S
7286,7285,3,7,1,S
7321,7245,1,4,1,S
7325,7328,1,1,1,S
7326,7328,1,1,1,S
7328,7348,2,2,1,S
7336,7321,1,4,1,S
7344,7286,2,7,1,S
7345,7344,3,7,1,S
7346,7345,3,7,1,S
7347,7391,3,7,1,S
7348,7347,3,7,1,S
7367,7336,1,4,1,S
7387,7367,1,4,1,S
7391,7346,3,7,1,S
7684,7685,1,4,1,S
7685,7686,1,4,1,S
7686,7387,1,4,1,S
7699,7684,1,4,1,S
7788,7699,1,4,1,S
7805,7788,1,4,1,S
7815,7805,1,4,1,S
7818,7815,1,4,1,S
7824,10479,1,4,1,S
7825,10476,1,4,1,S
7826,10480,1,4,1,S
7842,8441,1,4,1,S
7843,7818,1,4,1,S
7857,7842,1,4,1,S
7890,7857,1,4,1,S
7897,7890,1,4,1,S
7916,7165,1,4,1,S
7917,7916,1,4,1,S
7919,7006,1,4,1,S
7922,7090,1,4,1,S
7923,5844,1,4,1,S
7924,10231,1,4,1,S
7954,7897,1,4,1,S
7957,7954,1,4,1,S
7959,7957,1,4,1,S
7973,7959,1,4,1,S
7976,7973,1,4,1,S
7978,8454,1,4,1,S
7990,7991,1,4,1,S
7991,7978,1,4,1,S
8166,8187,1,4,1,S
8187,8550,1,4,1,S
8441,7919,1,4,1,S
8448,8166,1,4,1,S
8454,8882,1,4,1,S
8456,7976,1,4,1,S
8550,8553,1,4,1,S
8553,8584,1,4,1,S
8584,8585,1,4,1,S
8585,8626,1,4,1,S
8626,8627,1,4,1,S
8627,8628,1,4,1,S
8628,8630,1,4,1,S
8630,8631,1,4,1,S
8631,8638,1,4,1,S
8638,8643,1,4,1,S
8643,8649,1,4,1,S
8649,8659,1,4,1,S
8659,8667,1,4,1,S
8667,8892,1,4,1,S
8882,8883,1,4,1,S
8883,8884,1,4,1,S
8884,8885,1,4,1,S
8885,8886,1,4,1,S
8886,8889,1,4,1,S
8889,8890,1,4,1,S
8890,8891,1,4,1,S
8891,8456,1,4,1,S
8892,8893,1,4,1,S
8893,8894,1,4,1,S
8894,8895,1,4,1,S
8895,8896,1,4,1,S
8896,8897,1,4,1,S
8897,8898,1,4,1,S
8898,8899,1,4,1,S
8899,7990,1,4,1,S
10097,7826,1,4,1,S
10099,1453,7,6,1,S
10228,10099,1,4,1,S
10229,10228,1,4,1,S
10230,10229,1,4,1,S
10231,10230,1,4,1,S
10476,10477,1,4,1,S
10477,10478,1,4,1,S
10478,7824,1,4,1,S
10479,7823,1,4,1,S
10480,10481,1,4,1,S
10481,10482,1,4,1,S
10482,10483,1,4,1,S
10483,7825,1,4,1,S
11600,11620,1,7,1,S
11620,11632,1,7,1,S
13527,7249,3,7,1,S
13614,6901,3,7,1,S
1634,1655,3,2,4,E
1635,1634,3,2,4,E
1637,12235,3,2,4,E
1640,1641,3,2,4,E
1641,1660,3,2,4,E
1651,8009,3,2,4,E
1655,1651,3,2,4,E
1660,2381,3,2,4,E
1687,1696,3,2,4,E
1696,1697,3,2,4,E
1697,1698,3,2,4,E
1698,1699,3,2,4,E
1699,1875,3,1,4,E
1714,11569,1,7,4,E
1726,1727,3,2,4,E
1727,1637,3,2,4,E
1730,1731,3,2,4,E
1731,1726,4,2,4,E
1863,1875,2,1,4,E
1875,1751,2,1,4,E
1875,10678,3,2,4,E
1984,10336,2,3,4,E
2046,2111,2,2,4,E
2059,2378,4,2,4,E
2095,2046,3,2,4,E
2096,2095,4,2,4,E
2105,2159,3,2,4,E
2106,2105,3,2,4,E
2111,2167,2,2,4,E
2118,2106,2,2,4,E
2119,11550,2,2,4,E
2159,2161,3,2,4,E
2161,2163,3,2,4,E
2163,2096,3,2,4,E
2167,2169,3,2,4,E
2169,2059,2,2,4,E
2182,2119,2,2,4,E
2223,2322,2,3,4,E
2225,2223,2,3,4,E
2322,1984,2,3,4,E
2378,1730,3,2,4,E
2381,1687,3,2,4,E
7770,1714,2,3,4,E
7771,7770,1,3,4,E
7772,7771,1,3,4,E
8009,1640,3,2,4,E
9205,20210,1,2,4,E
9209,20212,1,2,4,E
9213,9563,1,2,4,E
9276,20215,1,2,4,E
9279,9507,1,2,4,E
9507,9508,1,2,4,E
9508,9509,1,2,4,E
9509,9510,1,2,4,E
9510,9511,1,2,4,E
9511,9512,1,2,4,E
9512,9513,1,2,4,E
9513,9514,1,2,4,E
9563,9564,1,2,4,E
9564,20214,1,2,4,E
9946,9205,1,2,4,E
9947,9946,1,2,4,E
10334,2182,2,3,4,E
10335,10334,2,3,4,E
10336,10335,2,3,4,E
10678,10679,2,2,4,E
10679,10680,2,2,4,E
10680,10681,2,2,4,E
10681,10682,2,2,4,E
10682,10683,2,2,4,E
10683,10735,2,2,4,E
10729,7772,1,3,4,E
10735,10737,2,2,4,E
10737,10729,2,1,4,E
11550,2118,2,2,4,E
11569,1715,1,7,4,E
12235,12236,3,2,4,E
12236,1635,3,2,4,E
20210,9209,1,2,4,E
20212,9213,1,2,4,E
20214,9276,1,2,4,E
20215,20217,1,2,4,E
20217,9279,1,2,4,E
1617,1618,3,2,4,W
1618,1619,3,2,4,W
1619,2155,4,2,4,W
1624,1625,3,2,4,W
1625,12234,3,2,4,W
1630,8010,3,2,4,W
1642,1630,3,2,4,W
1652,1654,3,2,4,W
1654,1624,3,2,4,W
1659,1642,3,2,4,W
1688,2380,3,2,4,W
1692,1693,3,2,4,W
1693,1694,3,2,4,W
1694,1695,3,2,4,W
1695,1688,3,2,4,W
1714,7770,2,3,4,W
1715,11569,1,7,4,W
1875,1692,3,1,4,W
1966,10689,2,2,4,W
1984,2322,2,3,4,W
2110,2143,2,2,4,W
2112,2110,2,2,4,W
2143,2147,3,2,4,W
2144,2162,3,2,4,W
2147,2144,4,2,4,W
2155,2164,3,2,4,W
2158,2201,3,2,4,W
2160,2158,3,2,4,W
2162,2160,3,2,4,W
2164,2377,3,2,4,W
2165,2168,2,2,4,W
2168,2112,3,2,4,W
2182,10334,2,3,4,W
2184,2202,3,2,4,W
2201,2184,4,2,4,W
2202,11549,2,2,4,W
2203,2182,2,2,4,W
2223,2225,2,3,4,W
2322,2223,2,3,4,W
2377,2165,4,2,4,W
2380,1659,3,2,4,W
7770,7771,1,3,4,W
7771,7772,1,3,4,W
7772,10729,1,3,4,W
8010,1652,3,2,4,W
9208,20209,1,2,4,W
9212,20211,1,2,4,W
9214,20220,1,2,4,W
9215,20221,1,2,4,W
9216,9562,1,2,4,W
9277,20222,1,2,4,W
9280,20219,1,2,4,W
9282,20216,1,2,4,W
9283,20218,1,2,4,W
9561,20213,1,2,4,W
9562,9561,1,2,4,W
10334,10335,2,3,4,W
10335,10336,2,3,4,W
10336,1984,2,3,4,W
10687,1875,3,2,4,W
10688,10687,2,2,4,W
10689,10688,2,2,4,W
10694,15955,2,2,4,W
10729,10738,2,1,4,W
10736,10694,2,2,4,W
10738,10736,2,2,4,W
11549,2203,2,2,4,W
11569,1714,1,7,4,W
12233,1617,3,2,4,W
12234,12233,3,2,4,W
15955,1966,2,2,4,W
20209,9204,1,2,4,W
20211,9208,1,2,4,W
20213,9212,1,2,4,W
20216,9216,1,2,4,W
20218,9280,1,2,4,W
20219,9282,1,2,4,W
20220,9283,1,2,4,W
20221,9214,1,2,4,W
20222,9215,1,2,4,W
4601,4607,2,7,9,N
4607,4608,2,7,9,N
4608,4612,2,7,9,N
4612,4623,2,7,9,N
4623,4633,1,7,9,N
4632,4637,1,4,9,N
4633,4632,1,4,9,N
4607,4601,2,7,9,S
4608,4607,2,7,9,S
4612,4608,2,7,9,S
4623,4612,2,7,9,S
4632,4633,1,4,9,S
4633,4623,1,7,9,S
4637,4632,1,4,9,S
8000,8396,1,7,12,E
8280,8287,1,4,12,E
8282,8640,2,7,12,E
8284,8282,1,7,12,E
8286,8528,1,7,12,E
8287,8284,1,4,12,E
8289,8399,1,7,12,E
8290,8286,1,7,12,E
8296,8297,2,3,12,E
8297,10528,2,3,12,E
8300,8296,2,3,12,E
8384,8300,2,3,12,E
8386,8538,2,7,12,E
8387,8386,2,7,12,E
8396,8397,1,7,12,E
8397,8280,1,7,12,E
8399,8000,1,7,12,E
8407,8416,2,2,12,E
8409,8407,2,2,12,E
8416,8387,2,7,12,E
8423,8409,2,2,12,E
8429,8762,2,2,12,E
8439,8566,1,7,12,E
8500,8539,1,3,12,E
8527,8423,2,2,12,E
8528,8289,1,7,12,E
8538,8384,2,7,12,E
8539,8290,1,7,12,E
8566,8429,1,7,12,E
8609,8527,2,2,12,E
8639,8642,2,3,12,E
8640,8639,1,7,12,E
8642,10353,2,2,12,E
8676,11828,2,3,12,E
8677,8676,2,3,12,E
8678,8677,2,2,12,E
8680,8678,2,2,12,E
8762,8763,2,2,12,E
8763,8609,2,2,12,E
8802,8804,2,2,12,E
8804,8817,3,2,12,E
8810,8812,2,2,12,E
8812,8814,2,2,12,E
8814,8821,2,2,12,E
8817,8818,3,3,12,E
8818,8810,3,2,12,E
8821,11038,2,3,12,E
10353,8680,2,2,12,E
10528,10529,2,3,12,E
10529,8500,2,3,12,E
11038,11833,2,3,12,E
11069,11812,2,3,12,E
11099,11982,2,3,12,E
11828,11069,2,3,12,E
11833,11099,2,3,12,E
11859,8802,2,1,12,E
11894,11901,1,7,12,E
11895,11896,1,7,12,E
11901,11895,1,7,12,E
11902,11894,1,7,12,E
11937,11902,1,7,12,E
11953,11937,1,7,12,E
11981,11953,1,7,12,E
11982,20369,1,7,12,E
11984,11981,1,7,12,E
20369,11984,1,7,12,E
8000,8399,1,7,12,W
8280,8397,1,7,12,W
8282,8284,1,7,12,W
8284,8287,1,4,12,W
8286,8290,1,7,12,W
8287,8280,1,4,12,W
8289,8528,1,7,12,W
8290,8539,1,7,12,W
8296,8300,2,3,12,W
8297,8296,2,3,12,W
8300,8384,2,3,12,W
8384,8538,2,7,12,W
8386,8387,2,7,12,W
8387,8391,2,2,12,W
8387,8416,2,7,12,W
8391,8401,2,2,12,W
8396,8000,1,7,12,W
8397,8396,1,7,12,W
8399,8289,1,7,12,W
8401,8424,2,2,12,W
8424,8525,2,2,12,W
8429,8566,1,7,12,W
8500,10529,2,3,12,W
8525,8537,2,2,12,W
8528,8286,1,7,12,W
8537,8761,2,2,12,W
8538,8386,2,7,12,W
8539,8500,1,3,12,W
8566,8439,1,7,12,W
8639,8640,1,7,12,W
8640,8282,1,7,12,W
8642,8639,2,3,12,W
8676,8677,2,3,12,W
8677,8678,2,2,12,W
8678,8680,2,2,12,W
8680,10353,2,2,12,W
8757,8429,2,2,12,W
8761,8757,2,2,12,W
8801,11837,2,1,12,W
8803,8801,2,2,12,W
8809,8818,2,2,12,W
8811,8809,2,2,12,W
8813,8811,2,2,12,W
8817,8803,2,2,12,W
8818,8817,2,3,12,W
8821,8813,2,2,12,W
10353,8642,2,2,12,W
10528,8297,2,3,12,W
10529,10528,2,3,12,W
11038,8821,2,3,12,W
11069,11828,2,3,12,W
11099,11833,2,3,12,W
11812,11069,2,3,12,W
11828,8676,2,3,12,W
11833,11038,2,3,12,W
11894,11902,1,7,12,W
11895,11901,1,7,12,W
11896,11895,1,7,12,W
11901,11894,1,7,12,W
11902,11937,1,7,12,W
11937,11953,1,7,12,W
11953,11981,1,7,12,W
11981,11984,1,7,12,W
11982,11099,2,3,12,W
11984,20369,1,7,12,W
20369,11982,1,7,12,W
2507,2606,2,7,13,N
2524,2507,2,7,13,N
2573,12067,1,7,13,N
2583,2585,2,7,13,N
2584,2583,1,7,13,N
2585,2586,2,7,13,N
2586,2587,2,7,13,N
2587,2588,2,7,13,N
2588,2650,2,7,13,N
2650,2661,2,7,13,N
2659,2524,2,7,13,N
2661,2659,2,7,13,N
3005,3007,2,2,13,N
3007,3010,2,2,13,N
3010,3011,2,2,13,N
3011,3012,3,2,13,N
3012,3014,2,2,13,N
3014,2573,1,7,13,N
3028,3031,2,2,13,N
3031,3033,2,2,13,N
3033,3005,2,2,13,N
3044,3028,2,2,13,N
3054,3138,2,1,13,N
3130,3153,2,2,13,N
3138,3130,2,2,13,N
3153,3044,2,2,13,N
12067,2584,1,7,13,N
2507,2524,2,7,13,S
2524,2659,2,7,13,S
2573,3014,1,7,13,S
2583,2584,1,7,13,S
2584,12067,1,7,13,S
2585,2583,2,7,13,S
2586,2585,2,7,13,S
2587,2586,2,7,13,S
2588,2587,2,7,13,S
2606,2507,2,7,13,S
2650,2588,2,7,13,S
2659,2661,2,7,13,S
2661,2650,2,7,13,S
2983,3006,2,2,13,S
2984,2983,2,2,13,S
2985,2984,2,2,13,S
2994,2985,3,2,13,S
3004,3030,2,2,13,S
3006,3004,2,2,13,S
3014,3052,2,2,13,S
3029,3145,2,2,13,S
3030,3029,2,2,13,S
3052,2994,2,2,13,S
3129,3137,2,2,13,S
3137,3083,3,1,13,S
3145,3152,2,2,13,S
3152,3129,2,2,13,S
12067,2573,1,7,13,S
4287,4613,2,3,17,N
4288,4287,2,3,17,N
4551,4870,3,2,17,N
4562,4617,2,2,17,N
4564,4562,2,2,17,N
4583,4564,2,2,17,N
4585,4583,2,2,17,N
4586,4585,2,2,17,N
4604,4586,2,2,17,N
4613,4604,2,3,17,N
4617,4618,2,2,17,N
4618,4551,4,2,17,N
4852,5153,3,2,17,N
4853,4852,4,2,17,N
4869,4853,3,2,17,N
4870,4869,4,2,17,N
4287,4288,2,3,17,S
4596,4598,2,2,17,S
4598,4599,2,2,17,S
4599,4600,2,2,17,S
4600,4603,2,2,17,S
4603,4604,2,2,17,S
4604,4613,2,3,17,S
4613,4287,2,3,17,S
4619,4596,3,2,17,S
4620,4619,2,2,17,S
4782,4783,4,2,17,S
4783,4785,3,2,17,S
4785,4620,4,2,17,S
4824,4827,5,2,17,S
4826,4824,4,2,17,S
4827,4782,3,2,17,S
1822,1826,4,2,24,E
1826,1874,4,2,24,E
1832,1822,4,2,24,E
1833,2072,5,2,24,E
1835,1833,4,2,24,E
1836,1835,4,2,24,E
1837,1836,4,2,24,E
1864,1888,6,2,24,E
1866,1864,4,2,24,E
1874,1866,5,2,24,E
1886,1885,2,1,24,E
1888,1886,3,1,24,E
1888,1952,3,1,24,E
1952,1950,3,1,24,E
2072,2091,4,2,24,E
2091,1832,4,2,24,E
2566,1837,4,2,24,E
2672,2996,4,2,24,E
2674,2672,4,2,24,E
2680,2674,4,2,24,E
2706,2680,4,2,24,E
2710,2706,4,2,24,E
2728,2710,3,2,24,E
2993,3022,4,2,24,E
2996,2993,4,2,24,E
3015,2566,4,2,24,E
3022,3015,4,2,24,E
1847,1849,4,2,24,W
1849,1852,5,2,24,W
1850,2208,5,2,24,W
1852,1854,4,2,24,W
1854,2565,4,2,24,W
1897,1850,4,2,24,W
1898,1899,4,2,24,W
1899,1911,5,2,24,W
1911,2376,4,2,24,W
1915,1898,6,2,24,W
1916,1915,3,1,24,W
1917,1915,3,1,24,W
1949,1916,3,1,24,W
2114,1847,5,2,24,W
2208,2114,5,2,24,W
2376,1897,4,2,24,W
2565,3021,4,2,24,W
2673,2675,4,2,24,W
2675,2681,4,2,24,W
2681,2705,4,2,24,W
2705,2709,4,2,24,W
2709,2727,3,2,24,W
2987,2995,5,2,24,W
2995,2673,4,2,24,W
3013,2987,4,2,24,W
3021,3013,4,2,24,W
4159,20365,1,3,25,N
4160,4159,1,3,25,N
11580,4160,1,3,25,N
20365,20367,1,3,25,N
4159,4160,1,3,25,S
4160,11580,1,3,25,S
20365,4159,1,3,25,S
20367,20365,1,3,25,S
8601,8602,2,7,29,N
8602,8603,2,7,29,N
8603,8605,2,7,29,N
8605,8606,1,4,29,N
8606,8608,2,4,29,N
8613,10357,2,7,29,N
8614,8613,2,7,29,N
8615,8614,2,7,29,N
8616,8615,2,7,29,N
8617,8616,2,7,29,N
8642,8663,2,2,29,N
8644,8742,2,3,29,N
8654,8655,2,2,29,N
8655,8656,2,2,29,N
8656,8657,2,2,29,N
8657,8658,2,2,29,N
8658,8681,2,2,29,N
8663,8654,2,2,29,N
8675,15855,2,3,29,N
8681,8683,2,2,29,N
8683,8644,2,2,29,N
8704,11433,2,3,29,N
8742,8743,2,3,29,N
8743,8750,2,3,29,N
8750,8704,2,3,29,N
8760,8677,2,2,29,N
10357,10358,2,7,29,N
10358,10359,2,7,29,N
10359,8601,2,7,29,N
11018,11033,2,3,29,N
11029,11784,2,3,29,N
11033,11736,2,3,29,N
11091,11649,2,7,29,N
11111,11029,2,3,29,N
11112,11111,2,3,29,N
11433,11434,2,3,29,N
11434,8617,2,3,29,N
11642,11644,1,5,29,N
11644,11651,2,7,29,N
11649,11656,2,7,29,N
11650,11091,2,7,29,N
11651,11650,2,7,29,N
11656,11709,2,7,29,N
11709,11710,2,7,29,N
11710,11985,2,7,29,N
11711,11715,2,7,29,N
11715,11721,2,7,29,N
11721,11733,2,3,29,N
11733,11018,2,3,29,N
11736,11112,2,3,29,N
11784,8675,2,3,29,N
11985,11711,2,7,29,N
15855,8760,2,3,29,N
8601,10359,2,7,29,S
8602,8601,2,7,29,S
8603,8602,2,7,29,S
8605,8603,2,7,29,S
8606,8605,1,4,29,S
8608,8606,2,4,29,S
8613,8614,2,7,29,S
8614,8615,2,7,29,S
8615,8616,2,7,29,S
8616,8617,2,7,29,S
8617,11434,2,3,29,S
8629,8642,2,2,29,S
8635,8629,2,2,29,S
8636,8635,2,2,29,S
8644,8670,2,2,29,S
8670,8682,2,2,29,S
8675,11784,2,3,29,S
8677,8760,2,2,29,S
8682,8684,2,2,29,S
8684,8685,2,2,29,S
8685,8686,2,2,29,S
8686,8636,2,2,29,S
8704,8750,2,3,29,S
8742,8644,2,3,29,S
8743,8742,2,3,29,S
8750,8743,2,3,29,S
8760,15855,2,3,29,S
10357,8613,2,7,29,S
10358,10357,2,7,29,S
10359,10358,2,7,29,S
11018,11733,2,3,29,S
11029,11111,2,3,29,S
11033,11018,2,3,29,S
11091,11650,2,7,29,S
11111,11112,2,3,29,S
11112,11736,2,3,29,S
11433,8704,2,3,29,S
