A,B,_LANES,_FT,_ROUTENUM,_ROUTEDIR
8442,8499,2,7,0,
8442,8562,2,7,0,
8499,8442,2,7,0,
8562,8442,2,7,0,
1453,10099,7,6,1,N
4850,5356,1,7,1,N
4917,4850,1,7,1,N
4918,4947,1,7,1,N
4919,4918,1,7,1,N
4920,4919,1,7,1,N
4947,4917,1,7,1,N
5330,6474,1,7,1,N
5356,5330,1,7,1,N
5377,5382,1,4,1,N
5379,5388,1,4,1,N
5380,5379,1,4,1,N
5381,5380,1,4,1,N
5382,5381,1,4,1,N
5388,5398,1,4,1,N
5397,5400,1,4,1,N
5398,5397,1,4,1,N
5400,5403,1,4,1,N
5403,5451,1,4,1,N
5451,5460,1,4,1,N
5460,5537,1,4,1,N
5537,5636,1,4,1,N
5636,5756,1,4,1,N
5756,5805,1,4,1,N
5805,5808,1,4,1,N
5808,5836,1,4,1,N
5836,5844,1,4,1,N
5844,7923,1,4,1,N
5874,5947,1,4,1,N
5875,5874,1,4,1,N
5946,5957,1,4,1,N
5947,5946,1,4,1,N
5957,5968,1,4,1,N
5967,5970,1,4,1,N
5968,5967,1,4,1,N
5970,5975,1,4,1,N
5973,6051,1,4,1,N
5974,5973,1,4,1,N
5975,5974,1,4,1,N
6045,6465,1,7,1,N
6046,6045,1,7,1,N
6048,6046,1,7,1,N
6049,6131,1,4,1,N
6050,6049,1,4,1,N
6051,6050,1,4,1,N
6131,6133,1,4,1,N
6133,6152,1,4,1,N
6152,6196,1,4,1,N
6196,6322,1,4,1,N
6197,6048,1,7,1,N
6198,6197,1,7,1,N
6200,6198,1,7,1,N
6202,6206,1,7,1,N
6204,6665,4,2,1,N
6206,6207,1,7,1,N
6207,6200,1,7,1,N
6208,6202,1,7,1,N
6209,6208,1,7,1,N
6210,6215,2,7,1,N
6211,6217,1,7,1,N
6213,6463,2,2,1,N
6215,6209,2,7,1,N
6216,6210,1,7,1,N
6217,6216,1,7,1,N
6220,6211,1,7,1,N
6223,6220,1,7,1,N
6227,6223,1,7,1,N
6322,6331,1,4,1,N
6331,6975,1,4,1,N
6445,6456,3,3,1,N
6446,6445,3,7,1,N
6451,6673,2,2,1,N
