15571 570774 4146504 ; Atherton Caltrain PNR
12875 588521 4245380 ; Vacaville Davis street park and ride lot
12854 546863 4171014 ; Colma PNR: D St. @ Junipero Serra Blvd.
12876 559413 4151901 ; Crystal Springs Reservoir PNR: Hwy 92 @ Ralston
12877 567812 4150144 ; Redwood City PNR: US 101 @ Whipple
12878 575861 4142067 ; Palo Alto PNR: Oregon Expwy @ El Camino Real
12879 553141 4171060 ; Brisbane PNR: Bayshore Blvd. @ Tunnel Ave.
12838 559777 4204513 ; Richmond PNR: I-80 @ Richmond Parkway
13789 592600 4140776 ; SCVTA LRT Champion Station node
;11389 592601 4140715 ; SCVTA LRT Champion Walk Access node
10504 593840 4139986 ; SCVTA LRT River Oaks PNR node
10908 601739 4137574 ; SCVTA LRT Penitencia Creek STA node - Capitol Extension
10938 601739 4137544 ; SCVTA LRT Penitencia Creek Walk Access node
10808 601769 4137575 ; SCVTA LRT Penitencia Creek PNR node
10909 602589 4136560 ; SCVTA LRT Mckee STA node - Capitol Extension
10939 602589 4136530 ; SCVTA LRT Mckee Walk Access node
10809 602619 4136561 ; SCVTA LRT Mckee PNR node
10910 603159 4135752 ; SCVTA LRT Alum Rock STA node - Capitol Extension
10940 603160 4135722 ; SCVTA LRT Alum Rock Walk Access node
10810 603189 4135753 ; SCVTA LRT Alum Rock PNR node
10900 597775 4131890 ; SCVTA LRT   San Fernando@Delmas Station Node
10920 597775 4131860 ; SCVTA LRT   San Fernando@Delmas Walk Access Node
10901 597444 4131698 ; SCVTA LRT   San Jose Amtrak Depot Station Node
10921 597445 4131668 ; SCVTA LRT   San Jose Amtrak Depot Walk Access Node
10801 597476 4131669 ; SCVTA LRT   San Jose Amtrak Depot Walk Access Node
10902 596742 4131360 ; SCVTA LRT   San Carlos Station Node
10302 596715 4131383 ; SCVTA LRT   San Carlos Walk Access Node
10802 596765 4131360 ; SCVTA LRT   San Carlos PNR Node
10903 596861 4130707 ; SCVTA LRT   Race Street Station Node
10923 596862 4130677 ; SCVTA LRT   Race Street Walk Access Node
10904 596030 4129862 ; SCVTA LRT   Fruitdale Station Node
10924 596031 4129832 ; SCVTA LRT   Fruitdale Walk Access Node
10804 596061 4129863 ; SCVTA LRT   Fruitdale PNR Node
10905 594788 4128427 ; SCVTA LRT   Bascom Station Node
10925 594789 4128396 ; SCVTA LRT   Bascom Walk Access Node
10805 594818 4128428 ; SCVTA LRT   Bascom PNR Node
10906 593976 4128009 ; SCVTA LRT   Hamilton Station Node
10926 593977 4127978 ; SCVTA LRT   Hamilton Walk Access Node
10907 593173 4127256 ; SCVTA LRT   Campbell Station Node
10927 593174 4127226 ; SCVTA LRT   Campbell Walk Access Node
10911 593140 4126148 ; SCVTA LRT   Winchester Station Node
10928 593152 4126186 ; SCVTA LRT   Winchester Walk Access Node
10811 593108 4126204 ; SCVTA LRT   Winchester PNR Node
;10912 592501 4125262 ; SCVTA LRT   Route 85 Station Node
;10312 592183 4124364 ; SCVTA LRT   Route 85 Walk Access Node
;10812 592121 4124423 ; SCVTA LRT   Route 85 PNR Node
13782 600986 4138377 ; SCVTA LRT   Berryessa Station Node
11382 601016 4138378 ; SCVTA LRT   Berryessa Walk Access Node
11482 601017 4138348 ; SCVTA LRT   Berryessa PNR Node
;12739 552512 4183175 ; MUNI P LINE PORTSMOUTH SQ ; MUNI LINE P CHINATOWN SUBWAY
;13759 552513 4183145 ; MUNI P LINE PORTSMOUTH SQ Walk Access Node 
12737 552516 4183053 ; MUNI P LINE Kearny & Sacramento Station Node
13757 552516 4183023 ; MUNI P LINE Kearny & Sacramento Walk Access Node
12735 552587 4182659 ; MUNI P LINE Kearny & Sutter Station Node
13755 552588 4182628 ; MUNI P LINE Kearny & Sutter Walk Access Node
12733 552623 4182446 ; MUNI P LINE Market & Geary Station Node
13753 552624 4182416 ; MUNI P LINE Market & Geary Walk Access Node
12731 552750 4182267 ; MUNI P LINE 3rd & Mission  Station Node
13751 552751 4182237 ; MUNI P LINE 3rd & Mission  Walk Access Node
12729 553000 4182030 ; MUNI P LINE 3rd & Folsom  Station Node
13749 553001 4181999 ; MUNI P LINE 3rd & Folsom  Walk Access Node
12727 553408 4181583 ; MUNI P LINE 3rd and Brannan Station Node
13747 553409 4181553 ; MUNI P LINE 3rd and Brannan Walk Access Node
14645 586890 4160591 ; Union City Capital Corridor Line Station Node
14945 586859 4160590 ; Union City Capital Corridor Line Walk Access Node
14845 586860 4160559 ; Union City Capital Corridor Line PNR Node
